date,预测平均值:GDP:累计同比,预测平均值:工业增加值:当月同比,预测平均值:CPI:当月同比,预测平均值:PPI:当月同比,预测平均值:固定资产投资:累计同比,预测平均值:社会消费品零售总额:当月同比,预测平均值:出口金额:当月同比,预测平均值:进口金额:当月同比,预测平均值:贸易差额:当月值,预测平均值:M2:同比,预测平均值:人民币贷款:同比,预测平均值:人民币贷款:当月新增,预测平均值:1年期存款利率,预测平均值:1年期贷款利率,CPI:当月同比,RPI:当月同比,PPI:全部工业品:当月同比,CGPI:当月同比,M1:同比,M2:同比,人民币存款准备金率:大型存款类金融机构(月),人民币存款准备金率:中小型存款类金融机构(月),官方储备资产:外汇储备,宏观经济景气指数:预警指数,宏观经济景气指数:一致指数,宏观经济景气指数:先行指数,宏观经济景气指数:滞后指数,消费者信心指数(月),消费者满意指数(月),消费者预期指数(月),全国居民收入基尼系数
2002/1/29,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/30,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/1/31,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1,-2,-4.2,96.95,9.5,13.1,6,6,"2,174.00",76.7,94.93,100.72,90.86,113.1,114.7,111.9,0.479
2002/2/1,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,0,-1.1,-4.2,97.31,10.9,13,6,6,"2,235.31",76.7,95.01,100.75,90.97,113.3,114.6,112.3,0.479
2002/2/4,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,0,-1.1,-4.2,97.31,10.9,13,6,6,"2,235.31",76.7,95.01,100.75,90.97,113.3,114.6,112.3,0.479
2002/2/5,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,0,-1.1,-4.2,97.31,10.9,13,6,6,"2,235.31",76.7,95.01,100.75,90.97,113.3,114.6,112.3,0.479
2002/2/6,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,0,-1.1,-4.2,97.31,10.9,13,6,6,"2,235.31",76.7,95.01,100.75,90.97,113.3,114.6,112.3,0.479
2002/2/7,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,0,-1.1,-4.2,97.31,10.9,13,6,6,"2,235.31",76.7,95.01,100.75,90.97,113.3,114.6,112.3,0.479
2002/2/8,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,0,-1.1,-4.2,97.31,10.9,13,6,6,"2,235.31",76.7,95.01,100.75,90.97,113.3,114.6,112.3,0.479
2002/2/25,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,0,-1.1,-4.2,97.31,10.9,13,6,6,"2,235.31",76.7,95.01,100.75,90.97,113.3,114.6,112.3,0.479
2002/2/26,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,0,-1.1,-4.2,97.31,10.9,13,6,6,"2,235.31",76.7,95.01,100.75,90.97,113.3,114.6,112.3,0.479
2002/2/27,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,0,-1.1,-4.2,97.31,10.9,13,6,6,"2,235.31",76.7,95.01,100.75,90.97,113.3,114.6,112.3,0.479
2002/2/28,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,0,-1.1,-4.2,97.31,10.9,13,6,6,"2,235.31",76.7,95.01,100.75,90.97,113.3,114.6,112.3,0.479
2002/3/1,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/4,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/5,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/6,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/7,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/8,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/11,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/12,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/13,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/14,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/15,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/18,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/19,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/20,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/21,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/22,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/25,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/26,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/27,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/28,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/3/29,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-1.8,-4,96.64,10.1,14.4,6,6,"2,276.05",76.7,95.45,100.67,91.02,113.4,115.1,112,0.479
2002/4/1,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/2,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/3,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/4,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/5,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/8,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/9,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/10,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/11,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/12,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/15,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/16,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/17,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/18,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/19,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/22,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/23,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/24,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/25,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/26,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/29,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/4/30,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.3,-2.1,-3.06,96.64,11.5,14.1,6,6,"2,338.24",82.7,96.54,100.71,91.21,113.3,115.1,111.7,0.479
2002/5/8,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/9,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/10,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/13,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/14,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/15,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/16,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/17,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/20,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/21,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/22,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/23,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/24,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/27,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/28,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/29,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/30,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/5/31,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-1.1,-1.8,-2.63,97.17,14.6,14,6,6,"2,384.73",85.3,96.98,100.82,91.18,113.3,115.2,112.1,0.479
2002/6/3,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
2002/6/4,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
2002/6/5,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
2002/6/6,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
2002/6/7,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
2002/6/10,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
2002/6/11,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
2002/6/12,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
2002/6/13,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
2002/6/14,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
2002/6/17,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
2002/6/18,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
2002/6/19,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
2002/6/20,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
2002/6/21,10.2,16.5,6.18,7.5,25,21,19,19,205,18.42,13.8,"6,437.63",2.33,5.33,-0.8,-0.8,-2.5,97.6,12.8,14.7,6,6,"2,427.63",85.3,97.19,101.02,91.32,113.5,115.6,112.2,0.479
